"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L8663","RenameTest","org.apache.tools.ant.taskdefs.RenameTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\RenameTest.java","60","1","91","2","0","0","0","0","0","0","0","0","2","0","0","6","1","0","0","4","10","0.285714","0.354839","11","11","2","5","0.354839","11","1","1","0","0","1","20","32","4","2","0","0","6","0","6","1","14","6","0","7","1","20","32","4","2","0","0","6","0","6","1","14","6","0","7","1","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8673","ReplaceTest","org.apache.tools.ant.taskdefs.ReplaceTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\ReplaceTest.java","60","1","90","2","0","0","0","0","0","0","0","0","2","0","0","7","1","0","0","4","11","0.125","0.115385","3","3","1","7","0.115385","3","1","1","0","0","1","23","31","4","2","0","0","7","0","7","1","15","7","0","8","1","23","31","4","2","0","0","7","0","7","1","15","7","0","8","1","0","0","18","0","0","0","0","0","0","0","1","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8683","TarTest","org.apache.tools.ant.taskdefs.TarTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\TarTest.java","60","1","82","2","0","0","0","0","0","0","0","0","1","0","0","5","1","0","0","3","8","0.166667","0.15","3","3","1","5","0.15","3","1","1","0","0","1","17","23","4","2","0","0","5","0","5","1","13","5","0","6","1","17","23","4","2","0","0","5","0","5","1","13","5","0","6","1","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8475","TaskdefsTest","org.apache.tools.ant.taskdefs.TaskdefsTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\TaskdefsTest.java","64","1","224","2","0","0","0","0","0","0","0","0","1","3","3","13","5","22","129","6","14","0.5","0.04","3","3","1","1","0.309859","44","0","0","20","20","0","72","88","4","2","4","2","8","0","1","0","8","42","0","1","0","98","161","4","2","4","2","16","0","9","0","16","45","0","9","0","0","2","26","1","8","4","0","4","0","2","1","0","0","0","1","0","24","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0"
"L8746","TaskdefTest","org.apache.tools.ant.taskdefs.TaskdefTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\TaskdefTest.java","60","1","89","2","0","0","0","0","0","0","0","0","2","0","0","7","1","0","0","4","11","0.125","0.115385","3","3","1","7","0.115385","3","1","1","0","0","1","23","30","4","2","0","0","7","0","7","1","15","7","0","8","1","23","30","4","2","0","0","7","0","7","1","15","7","0","8","1","0","0","18","0","0","0","0","0","0","0","1","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8756","UnzipTest","org.apache.tools.ant.taskdefs.UnzipTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\UnzipTest.java","60","1","82","2","0","0","0","0","0","0","0","0","1","0","0","5","1","0","0","3","8","0.166667","0.15","3","3","1","5","0.15","3","1","1","0","0","1","17","23","4","2","0","0","5","0","5","1","13","5","0","6","1","17","23","4","2","0","0","5","0","5","1","13","5","0","6","1","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8764","ZipTest","org.apache.tools.ant.taskdefs.ZipTest","L2237","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\testcases\org\apache\tools\ant\taskdefs\ZipTest.java","60","1","77","2","0","0","0","0","0","0","0","0","1","0","0","4","1","0","0","3","7","0.2","0.176471","3","3","1","4","0.176471","3","1","1","0","0","1","14","18","4","2","0","0","4","0","4","1","12","4","0","5","1","14","18","4","2","0","0","4","0","4","1","12","4","0","5","1","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2798","Commandline","org.apache.tools.ant.types.Commandline","L8771","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\types\Commandline.java","85","1","355","2","0","0","0","0","0","0","0","0","1","6","4","47","2","24","71","3","19","0.470588","0.2657","55","52","8","9","0.330709","84","0","0","0","0","0","152","221","2","3","2","3","16","0","16","1","16","103","0","16","1","170","271","3","4","3","4","21","0","21","5","21","108","0","21","5","0","1","27","2","15","6","0","7","0","3","0","5","0","0","1","0","21","0","0","3","0","0","0","0","0","0","4","0","0","0","1","0"
"L3416","CommandlineJava","org.apache.tools.ant.types.CommandlineJava","L8771","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\types\CommandlineJava.java","65","1","254","2","0","0","0","0","0","0","0","0","1","1","1","29","8","7","24","19","40","0.0909091","0.0630631","7","7","2","20","0.0636943","10","0","0","0","0","0","104","137","5","7","5","7","21","0","21","4","21","46","0","21","4","147","190","7","9","6","8","26","0","26","5","29","74","0","29","5","0","1","60","2","17","0","0","4","0","4","0","0","0","0","5","0","56","0","0","5","0","0","0","0","0","0","2","0","0","0","4","0"
"L8885","DataType","org.apache.tools.ant.types.DataType","L8771","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\types\DataType.java","74","1","187","2","0","0","0","0","0","0","0","0","3","2","2","12","3","3","31","2","10","1","0.62069","72","72","5","0","0.62069","72","0","0","3","3","0","44","114","3","1","3","1","8","0","4","2","8","18","0","4","2","44","114","3","1","3","1","8","0","4","2","8","18","0","4","2","0","0","1","0","4","2","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
